"","Condition","subID","Task","Skill","P_Avg","TP_Avg"
"1","C","P01","V","N",-0.565668463321282,-0.857287420269573
"2","C","P02","V","N",-0.336351498386277,-0.753535460011501
"3","C","P03","V","N",-0.563384304585516,-0.518345438415532
"4","C","P04","V","E",-0.620012635041761,-0.942717883013409
"5","C","P05","V","E",-0.425767278821353,-0.791372565232637
"6","C","P06","V","N",-0.714450952563253,-0.892890476292087
"7","C","P07","V","E",-0.47798267013454,-0.354660939721794
"8","C","P08","V","E",-0.605796930780485,-0.619430186752543
"9","C","P10","V","N",-0.570487616612184,-0.88306617740027
"10","C","P11","V","E",-0.109256493846937,-0.569491480744089
"11","C","P14","V","N",-0.402355253188994,-0.502197091990129
"12","C","P15","V","E",-0.416255720293909,-0.570159768609739
"13","G","P01","N","N",-0.317419638308423,-0.759246566022236
"14","G","P01","V","N",-0.495432955131597,-0.675598210732988
"15","G","P02","N","N",-0.328777112295152,-0.769343512570122
"16","G","P02","V","N",-0.355311452960559,-0.693910919869038
"17","G","P03","N","N",-0.546883813909639,-0.647765204363694
"18","G","P03","V","N",-0.324801127751708,-0.488795400257651
"19","G","P04","N","E",-0.263199259710207,-0.759447709304224
"20","G","P04","V","E",-0.622876410668026,-1.03268731889103
"21","G","P05","N","E",-0.444426084146968,-1.03447291643747
"22","G","P05","V","E",-0.48603124977446,-0.92745611200978
"23","G","P06","N","N",-0.381177441975237,-0.841047959045777
"24","G","P06","V","N",-0.638398251360685,-0.804010142725479
"25","G","P07","N","E",-0.515622288340576,-0.470870737271836
"26","G","P07","V","E",-0.446039045973964,-0.394978016462439
"27","G","P08","N","E",-0.538003789243845,-0.659570915206
"28","G","P08","V","E",-0.471109666435539,-0.55623650155719
"29","G","P10","N","N",-0.276519461483792,-0.74603622447169
"30","G","P10","V","N",-0.553341966000096,-0.902903958860055
"31","G","P11","N","E",-0.108999259691161,-0.671236400875773
"32","G","P11","V","E",-0.271812812676229,-0.736876437160439
"33","G","P14","N","N",-0.263216141311497,-0.501726484628999
"34","G","P14","V","N",-0.35086081937026,-0.450798509142676
"35","G","P15","N","E",-0.337995461528899,-0.528281572544898
"36","G","P15","V","E",-0.565672676226832,-0.809802530880003
"37","L","P01","N","N",-0.340576443053145,-0.79089284126822
"38","L","P01","V","N",-0.495428012020382,-0.739617501210673
"39","L","P02","N","N",-0.333365811789832,-0.676998085357992
"40","L","P02","V","N",-0.34491540071269,-0.624293951025614
"41","L","P03","N","N",-0.177901305740312,-0.51742756002453
"42","L","P03","V","N",-0.481598514559636,-0.523166741031794
"43","L","P04","N","E",-0.503281738261866,-0.893579112327252
"44","L","P04","V","E",-0.614106495715961,-0.966854225629377
"45","L","P05","N","E",-0.399236198296156,-0.868444566178636
"46","L","P05","V","E",-0.437002022099046,-0.813092398438614
"47","L","P06","N","N",-0.554923925898352,-0.851745381527904
"48","L","P06","V","N",-0.658185821653598,-0.754391321146872
"49","L","P07","N","E",-0.379489753826873,-0.344818634876489
"50","L","P07","V","E",-0.441393180822165,-0.33801004975372
"51","L","P08","N","E",-0.325010987166423,-0.632095977846674
"52","L","P08","V","E",-0.495355096972695,-0.546710267255641
"53","L","P10","N","N",-0.40740343643102,-0.928248457032759
"54","L","P10","V","N",-0.571749976725305,-0.886223834589445
"55","L","P11","N","E",-0.111407798126031,-0.667876022587785
"56","L","P11","V","E",-0.259843248861054,-0.74328070634042
"57","L","P14","N","N",-0.202865392274743,-0.310224732281629
"58","L","P14","V","N",-0.360209886207503,-0.374825399002295
"59","L","P15","N","E",-0.468841782548874,-0.67325898575431
"60","L","P15","V","E",-0.501343440918519,-0.728928231180203
